What's the last movie you saw in the theater?,"On a scale of 1 star to 5 stars, how would you rate that movie?",What is your height in inches?,"How many inches long is your foot?  If you don't have something for measuring handy, just estimate.",What is your gender?,"What city and state were you born in? If you were born outside the US, please put the country as well.",Do you consider yourself a vegetarian or vegan?,Have you ever been in a car accident when YOU were the driver?,Which of the following desserts do you prefer most?,Which choice best reflects your political leanings?,Which choice best reflects the political leanings of your mother?,How many siblings do you have?,How long does it take to drive from your hometown to Statesboro? Report your answer in minutes.,Do you give your permission for the instructor to use this data in examples?  Your name and ID will not appear and all information will be treated anonymously.,What is your major?
Guardians of the Galaxy,5,73,12,Male,"San Diego, CA",No,Yes,Cookies,Moderate,Liberal,1,45,yes,Political Science
neigbors,4,63,6,Female,Georgia,No,Yes,Brownies,Moderate,Conservative,4,70,sure,exercise science
The Purge Anarchy,4,61,9,Female,"Macon, Georgia",No,No,Brownies,Liberal,Moderate,2,120 minutes,Yes,Chemistry
The Purge,4,64,10,Female,"Savannah, Georgia",No,Yes,Cake,Conservative,Conservative,2,45-50,yes,Health Education and Promotion
Guardians of the Galaxy,5,72,9,Male,"Miami, Florida",No,Yes,Cake,Liberal,Liberal,2,270,yes,Criminal Justice
Guardians of the Galaxy,4,73,11.5,Male,"Columbus, Ga",No,No,Pie,Conservative,Conservative,2,160min,yes,political science
Blanded,2,65,6,Female,"Africa, Liberia",No,Yes,Cake,Liberal,Liberal,3,240,yes,pre-nursing
Frozen,4,65,10,Female,"Springfield, MA",No,No,Pie,Moderate,Conservative,4,972,Yes,International Studies
22 Jump Street,4,65,8,Female,"Augusta, GA",No,No,Cake,Conservative,Conservative,1,45,Yes,Nursing
Guardians of the Galaxy,5,72,10,Male,"Alpharetta, GA",No,No,Other,Moderate,Conservative,1,210,Yes,Computer Science
22 Jump Street,4,74,13,Male,"Rome, GA",No,Yes,Cookies,Conservative,Conservative,2,270,yes,Chemistry 
Spider man,5,66,7,Female,"McDonough, Georgia",No,No,Brownies,Liberal,Conservative,0,150,yes,Exercise Science
How to train you dragon 2,5,64,8.5,Female,"Decator, GA",No,Yes,Other,Liberal,Conservative,2,210,yes,Biology
The Fault in Our Stars,5,63,9,Female,"Augusta, Georgia",No,No,Brownies,Conservative,Conservative,1,90,Yes,Pre-Nursing
Lucy,3,67,12,Male,"Auburn, Alabama",No,Yes,Cookies,Moderate,Conservative,3,240,yes,Construction Management
Get On Up,3,67,9.5,Female,"Augusta, GA",No,Yes,Brownies,Conservative,Conservative,1,90,Yes,Pre-nursing
lucy,4,70,12,Male,atlanta georgia,No,Yes,Brownies,Moderate,Conservative,2,180,yes,exercise science
Xmen days of future past,5,69.5,9.75,Female,"Redding, CA",No,No,Other,Conservative,Conservative,3,50,Yes,Nursing
22 Jump Street,4,53,8.5,Female,Savannah,No,No,Brownies,Moderate,Liberal,1,60,yes,pre-nursing
planet of the apes,5,69,9,Male,"thomasville, georgia",No,No,Cookies,Liberal,Conservative,5 or more,240 minutes,yes,politcal science
Planes Fire and Rescue,4,65,7,Female,Virginia,No,No,Pie,Liberal,Liberal,3,210,yes,biology
22 jump street,4,69,0,Male,Savannah georgia,No,Yes,Cookies,Moderate,Moderate,4,65,yes,construction management
22 jumpstreet,3,65,10,Female,"Augusta, Georgia",No,No,Cookies,Moderate,Moderate,4,90 minutes,yes,exercise science
The Amazing Spider-Man 2,5,63,8.75,Female,"Toms River, NJ",No,No,Brownies,Liberal,Moderate,2,240,Yes,Exercise Science
Dawn of the Planet of the Apes,4,66,10,Male,"Lilburn, Georgia",No,Yes,Cookies,Conservative,Conservative,2,210 minutes,Yes,IT
The Dark Knight Rises,5,71,11.75,Male,"Augusta, GA",No,No,Pie,Conservative,Moderate,1,75,yes,Sport Management
Maleficent ,5,61,10,Female,Atlanta GA,No,No,Cookies,Liberal,Liberal,2,210,Yes,Bio Pre-Med
Avengers,5,63,7,Male,Atlanta,No,No,Cake,Liberal,Conservative,3,210,yes,IT
The Giver,4,67,12,Female,"Atlanta, Georgia",No,Yes,Cookies,Liberal,Moderate,0,240,Yes,Exercise Science
